"Metabolite","P_Value","Fold_Change","log2FoldChange","diffexpressed"
"(1,2) DG 32:0",0.214751243001656,0.379005084846101,-1.39971089073099,"NO"
"(1,2) DG 32:1",0.221546460020279,0.280584266222639,-1.83349398286108,"NO"
"(1,2) DG 34:0",0.0418150718096413,7.58899083017005e-10,-30.2953728973709,"DOWN"
"(1,2) DG 34:1",0.042277367321138,0.249242146905613,-2.00438004582583,"DOWN"
"(1,2) DG 34:2",0.0277841602028516,0.233719413201433,-2.09715052265695,"DOWN"
"(1,2) DG 34:3",0.0176884314108204,5.03095040385598e-10,-30.8884499815646,"DOWN"
"(1,2) DG 36:1",0.114131105695666,0.317207139036417,-1.65650285431037,"NO"
"(1,2) DG 36:2",0.0557859188061758,0.400081440008962,-1.32163439204265,"NO"
"(1,2) DG 36:3",0.0213805483500494,0.309074471173527,-1.69397359899714,"DOWN"
"(1,2) DG 36:4",0.0290941591082836,4.54059535090101e-10,-31.0363994765819,"DOWN"
"(1,3) DG 32:0",0.146579771160128,0.37855502596065,-1.40142507232337,"NO"
"(1,3) DG 32:1",0.179926782319257,0.304952271018366,-1.71334463501001,"NO"
"(1,3) DG 34:0",0.0999428317390025,0.414406721215211,-1.27088069276729,"NO"
"(1,3) DG 34:1",0.0596042541892092,0.356956439330522,-1.48618006712112,"NO"
"(1,3) DG 34:2",0.0238716353448968,0.235634148903732,-2.08537946028621,"DOWN"
"(1,3) DG 34:3",0.0710939196557439,0.225365623280446,-2.14966062775873,"NO"
"(1,3) DG 36:1",0.0572439327287179,0.255108801508272,-1.97081542066949,"NO"
"(1,3) DG 36:2",0.0504994965556845,0.370154063038641,-1.43380223030689,"NO"
"(1,3) DG 36:3",0.0145436931266562,0.267348131660105,-1.90320850026835,"DOWN"
"(1,3) DG 36:4",0.0239053761018515,0.207793769467473,-2.26677569807131,"DOWN"
"CAR 16:0",0.0158642895667372,6.20943097756975e-10,-30.5848198806616,"DOWN"
"CAR 18:0",0.895623919935227,0.992662609306332,-0.0106246435898569,"NO"
"CAR 18:1",0.00296227154980719,0.0609126906872597,-4.03711335599131,"DOWN"
"CAR 18:2",0.00304923339813353,0.0578913645743553,-4.11050802661866,"DOWN"
"CAR d3-18:1",NA,1,0,"NO"
"Carnitine",0.0806431202560957,2.07061844632881,1.05006173206958,"NO"
"CE 16:1",0.57278392024569,1.35557660061031,0.438906638958131,"NO"
"CE 18:1",0.561694660999145,0.914491601400612,-0.128958174419468,"NO"
"CE 18:2",0.954870116237494,1.00819000819001,0.0117675614970541,"NO"
"CE 20:4",0.881032788401914,0.962388092769689,-0.0553093021327153,"NO"
"Cer 30:1,O2",NA,1,0,"NO"
"Cer 34:1,O2",0.132198236820992,0.561906356156141,-0.831598375056721,"NO"
"Cer 40:1,O2",0.485169114727146,0.810885702030016,-0.302429520439174,"NO"
"Cer 41:1,O2",0.59887348524448,0.843065362149935,-0.246283608448273,"NO"
"Cer 42:1,O2",0.902263178652702,0.973790695434723,-0.0383163791584429,"NO"
"Cer 42:2,O2",0.156873487199155,0.675264645396836,-0.566475070094237,"NO"
"Cer 43:1,O2",0.775745979466791,1.09608654338461,0.132361713246044,"NO"
"Cholesterol",0.366923101114385,1.16346714240948,0.218430468025383,"NO"
"Hex2Cer 34:1,O2",0.343436397911531,1.69556690403393e-08,-25.8136570474494,"NO"
"HEXCER 42:1,O2",0.286183113912359,1.15367522761691,0.206237146469554,"NO"
"LPC 13:0",0.767371861981264,0.915890817847859,-0.126752468112901,"NO"
"LPC 14:0",0.439674422433038,0.787654682007086,-0.344364822751525,"NO"
"LPC 15:0",0.0599022909568952,0.626032032358178,-0.675691617055385,"NO"
"LPC 16:0",0.0102837436229913,0.614428098106072,-0.702683902149606,"DOWN"
"LPC 16:1",0.617967891660763,0.849154725371054,-0.23590064218376,"NO"
"LPC 17:0",0.00846555178587645,0.509711132000149,-0.972248233097803,"DOWN"
"LPC 18:0",0.0520745541619927,0.692484810878855,-0.530145667783406,"NO"
"LPC 18:1",0.0258935183271632,0.659075939294769,-0.601483391517329,"DOWN"
"LPC 18:2",0.149000415182902,0.69533567480785,-0.524218484721599,"NO"
"LPC 18:3",0.349034776463454,0.889341307103218,-0.1691908990412,"NO"
"LPC 20:3",0.118031832391561,0.649151059938479,-0.623373856932313,"NO"
"LPC 20:4",0.0587016035796901,0.681996052450958,-0.552164706262415,"NO"
"LPC 20:5",0.122675416318014,0.490820136577685,-1.0267336561049,"NO"
"LPC 22:5",0.0666829120459358,0.584278899752129,-0.775270905163927,"NO"
"LPC 22:6",0.0134255273904607,0.346963215526643,-1.52714537614817,"DOWN"
"LPC O-16:0",0.00226448104688386,0.515330449441,-0.956430255045995,"DOWN"
"LPC O-16:1//LPC P-16:0",0.00451999941596218,0.581966751513546,-0.780991362366721,"DOWN"
"LPC O-16:2//LPC P-16:1",0.00699112497152453,0.582247677860134,-0.780295114244865,"DOWN"
"LPC O-18:1//LPC P-18:0",0.000987192811231666,0.446926776923294,-1.16188961073361,"DOWN"
